dexNum,name,species,type1,type2,ability1ID,ability2ID,hiddenAbilityID,height,weight
1,Bulbasaur,Seed,Grass,Poison,Overgrow,,Chlorophyll,0.7,6.9
2,Ivysaur,Seed,Grass,Poison,Overgrow,,Chlorophyll,1,13
3,Venusaur,Seed,Grass,Poison,Overgrow,,Chlorophyll,2,100
4,Charmander,Lizard,Fire,,Blaze,,Solar Power,0.6,8.5
5,Charmeleon,Flame,Fire,,Blaze,,Solar Power,1.1,19
6,Charizard,Flame,Fire,Flying,Blaze,,Solar Power,1.7,90.5
7,Squirtle,Tiny Turtle,Water,,Torrent,,Rain Dish,0.5,9
8,Wartortle,Turtle,Water,,Torrent,,Rain Dish,1,22.5
9,Blastoise,Shellfish,Water,,Torrent,,Rain Dish,1.6,85.5
10,Caterpie,Worm,Bug,,Shield Dust,,Run Away,0.3,2.9
11,Metapod,Cocoon,Bug,,Shed Skin,,,0.7,9.9
12,Butterfree,Butterfly,Bug,Flying,Compound Eyes,,Tinted Lens,1.1,32
13,Weedle,Hairy Bug,Bug,Poison,Shield Dust,,Run Away,0.3,3.2
14,Kakuna,Cocoon,Bug,Poison,Shed Skin,,,0.6,10
15,Beedrill,Poison Bee,Bug,Poison,Swarm,,Sniper,1,29.5
16,Pidgey,Tiny Bird,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,0.3,1.8
17,Pidgeotto,Bird,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1.1,30
18,Pidgeot,Bird,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1.5,39.5
19,Rattata,Mouse,Normal,,Run Away,Guts,Hustle,0.3,3.5
20,Raticate,Mouse,Normal,,Run Away,Guts,Hustle,0.7,18.5
21,Spearow,Tiny Bird,Normal,Flying,Keen Eye,,Sniper,0.3,2
22,Fearow,Beak,Normal,Flying,Keen Eye,,Sniper,1.2,38
23,Ekans,Snake,Poison,,Intimidate,Shed Skin,Unnerve,2,6.9
24,Arbok,Cobra,Poison,Poison,Intimidate,Shed Skin,Unnerve,3.5,65
25,Pikachu,Mouse,Electric,,Static,,Lightning Rod,0.4,6
26,Raichu,Mouse,Electric,,Static,,Lightning Rod,0.8,30
27,Sandshrew,Mouse,Ground,,Sand Veil,,Sand Rush,0.6,12
28,Sandslash,Mouse,Ground,,Sand Veil,,Sand Rush,1,29.5
29,Nidoran Female,Poison Pin,Poison,,Poison Point,Rivalry,Hustle,0.4,7
30,Nidorina,Poison Pin,Poison,,Poison Point,Rivalry,Hustle,0.8,20
31,Nidoqueen,Drill,Poison,Ground,Poison Point,Rivalry,Sheer Force,1.3,60
32,Nidoran Male,Poison Pin,Poison,,Poison Point,Rivalry,Hustle,0.5,9
33,Nidorino,Poison Pin,Poison,,Poison Point,Rivalry,Hustle,0.9,19.5
34,Nidoking,Drill,Poison,Ground,Poison Point,Rivalry,Sheer Force,1.4,62
35,Clefairy,Fairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,0.6,7.5
36,Clefable,Fairy,Fairy,,Cute Charm,Magic Guard,Unaware,1.3,40
